"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R145H11"	0.0964182131586865	0.524085896691817	0.485291582271268	0.562591704291652	0.223569866703748	0.617519382445546
"R146A05"	-0.126703701414764	0.468366383380547	0.419476496243992	0.517871231351445	0.210267825129989	0.599652686481819
"R146C12"	-0.000736377058311879	0.499815905743741	0.477993649008568	0.521638863843065	0.98681664463901	0.993196356439009
"R147F03"	-0.0714190756694151	0.482152816508645	0.455371625836805	0.509036936491174	0.193165367518677	0.577620710638375
"R150E12"	0.0556213789540703	0.513901760889713	0.479259153674144	0.548411308725408	0.431652698508622	0.800897777955756
"R150G12"	-0.0263867551731946	0.493403693931398	0.464234035793337	0.522618329868223	0.658256355223576	0.897092731897617
"R150H02"	-0.042840158676492	0.489291598023064	0.44333331120069	0.535431626967249	0.649580083387335	0.893172614657585
"R151G05"	0.0130266714000081	0.503256621797655	0.469756588170859	0.536727441672985	0.849054143375311	0.988503036207334
"R153B12"	-0.129435463003113	0.467686235816478	0.432239040597044	0.503462641664455	0.0766432591642334	0.36317113573206
"R153E10"	-0.0616211341061738	0.484599589322382	0.448298549991528	0.521063866615868	0.407872090642448	0.785153774486712
"R153F05"	-0.169844969589848	0.457640538400633	0.412984477493588	0.502987793586437	0.0670832842446469	0.32796272297383
"R154A12"	0.00539448374935567	0.501348617666892	0.471827059753009	0.530860775702462	0.928727709871792	0.989860051766172
"R154D07"	-0.0867032580532836	0.478337754199823	0.4308694040862	0.526200572343503	0.375122127875646	0.767483470476819
"R154F06"	-0.265138672350814	0.434100930916217	0.399178758948808	0.46968990394306	0.000300283158127357	0.00383989140949812
"R155E06"	-0.0478127240386415	0.488049095607235	0.459205191194623	0.516972808129629	0.418089797020552	0.794886774582284
"R158H03"	-0.15221984840225	0.462018348623853	0.431459515228731	0.492865270407737	0.0158541353742767	0.122076842381931
"R160G03"	0.0051635226600486	0.501290877796902	0.467950302992125	0.534619977020963	0.939589455146995	0.989860051766172
"R160H06"	0.0640844228931839	0.516015625	0.484201582280435	0.547700382481064	0.323800890055971	0.731818139958774
"R161A10"	-0.12939694067432	0.467695826186392	0.42955896977603	0.506213901775177	0.100149355057729	0.400597420230915
"R161H06"	0.0439591947732192	0.510988029301412	0.489473954604189	0.532461474264225	0.316811244468041	0.731818139958774
"R162C01"	-0.0105516566514603	0.497362110311751	0.462187952500651	0.532562397473655	0.883378661921385	0.989860051766172
"R163E02"	0.00700528258840881	0.501751313485114	0.468118891261214	0.535367895135441	0.918813247261645	0.989860051766172
"R164C04"	-0.109643177449827	0.47261663286004	0.43111872824693	0.514496404258247	0.199893446147478	0.580822466164369
"R167D07"	-0.000852151734565633	0.49978696207925	0.46661621234552	0.532959587162012	0.989971692944077	0.993196356439009
