"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R145B04"	-0.154808791071808	0.461374911410347	0.419199614899025	0.504110489911902	0.0764307505999269	0.434522971003288
"R145H11"	0.100379185307622	0.525073746312684	0.486104255564731	0.563740223490788	0.207185879278756	0.706734054873089
"R146A05"	-0.107911287177229	0.473048327137546	0.424649352451304	0.521959196922175	0.280066561758632	0.811912166987998
"R146C12"	-0.000736377058312102	0.499815905743741	0.478075061017639	0.521557446610531	0.986767218543517	0.990588936146154
"R147F03"	-0.057724184717841	0.485572959604287	0.459070213297802	0.512157090524619	0.287464955486799	0.817145753096735
"R150E12"	0.0757315687761086	0.518923848609211	0.484674395789749	0.552996380161131	0.278800203735469	0.811912166987998
"R150G12"	-0.0263867551731947	0.493403693931398	0.46434266819222	0.522509362827987	0.657056843574793	0.910761974207259
"R150H02"	-0.0162870049746989	0.495928338762215	0.450336089636272	0.541588401667325	0.861541514335607	0.988418333992562
"R151G05"	0.0130266714000087	0.503256621797655	0.469881408197977	0.536602838845042	0.848495015030667	0.988418333992562
"R153B12"	-0.138855734791621	0.465341735336888	0.430355619982387	0.5006722275272	0.054513877485024	0.348661674747966
"R153E10"	-0.0526970952783907	0.486828774062817	0.450884032807972	0.522910268530418	0.474451996883876	0.877450379779216
"R153F05"	-0.1377172505572	0.465625	0.42130804268845	0.510491347541203	0.133056479696225	0.573600312856132
"R154A12"	0.0246761436877769	0.506168722907636	0.476904743045291	0.535390495107607	0.679653079454933	0.919646934740951
"R154D07"	-0.0512932943875508	0.487179487179487	0.439778094971496	0.534812608795141	0.598202557984475	0.910761974207259
"R154F06"	-0.239762041032485	0.44034499281265	0.405846669673858	0.475429284273116	0.000889354781598017	0.0109212767180237
"R155E06"	-0.0478127240386413	0.488049095607235	0.459312550048457	0.516864855463884	0.416346616224971	0.868845447091217
"R158H03"	-0.159785767431129	0.460138332726611	0.429830066734249	0.490744300723665	0.0107372149269742	0.0969507347817966
"R160G03"	0.00516352266004959	0.501290877796902	0.468074499546912	0.534495865787416	0.939363383265812	0.988418333992562
"R160H06"	0.0718963973488818	0.517966360856269	0.486608431347213	0.549183410009719	0.2614192886864	0.786820800262009
"R161A10"	-0.110472575771216	0.47240990990991	0.434653131302637	0.510484963824217	0.155439882639715	0.611788972369089
"R161H06"	0.0515120090751136	0.512875155389806	0.491504688189413	0.53419865448696	0.237647869540071	0.757256805491437
"R162C01"	-0.00189753377619178	0.499525616698292	0.46466238961786	0.534393457086244	0.978759522911201	0.988418333992562
"R163E02"	0.00956113324398285	0.502390265102129	0.469004122494371	0.535755106646055	0.888536248255642	0.988418333992562
"R164C04"	-0.0837698830654588	0.47906976744186	0.438011487142085	0.520412774668443	0.321069905264877	0.851756586452365
"R167D07"	0.034327355386607	0.508580996232733	0.475791773150479	0.541296557716934	0.608184293995405	0.910761974207259
"R167G06"	-0.113364115518348	0.471689284043051	0.437251347011152	0.506398815781234	0.109834510405861	0.527048933461913
"R167H12"	-0.0739087094251558	0.48153122901276	0.440229814927783	0.523086572346271	0.38377690060089	0.862110308261568
"R168D04"	-0.159814600926548	0.460131170176044	0.430612365377552	0.489932349685628	0.00878438590940323	0.0817214083086906
"R168D10"	-0.356588209908582	0.411785714285714	0.382317269391362	0.441900557012039	1.38008076078222e-08	2.49226349153025e-07
"R170B03"	0.0926281556360787	0.523140495867769	0.477029760999647	0.568860121043173	0.325309487871908	0.851756586452365
"R170B08"	-0.109744564766362	0.472591362126246	0.426815017049785	0.518833251613032	0.245249018937786	0.760519684988891
"R170F08"	-0.0317486983145801	0.492063492063492	0.453317969309133	0.530904589286424	0.689078996499539	0.919646934740951
"R170G12"	0.0426460560491387	0.510659898477157	0.474550625133778	0.54665826912677	0.563051743492164	0.89950654471283
"R171A01"	0.0160163583885747	0.504004004004004	0.46817535209257	0.539791581148638	0.826825012094862	0.988418333992562
"R171F03"	-0.0531387776728438	0.486718430731508	0.454417701125408	0.519130478165416	0.421963390481133	0.868845447091217
"R172A05"	-0.0447047212857065	0.488825680617635	0.45660445398363	0.521140032093606	0.498046911858823	0.878001121052551
"R172B02"	-0.0888708382817824	0.477796901893287	0.448191101680846	0.507559524761937	0.14364229262876	0.595921403203098
"R172B11"	0.0269376557318084	0.506734006734007	0.47732620118275	0.536095287975661	0.653727499603191	0.910761974207259
"R172C12"	-0.0281708769666961	0.492957746478873	0.456443670774915	0.529547106224316	0.706252375646744	0.922636082227874
"R172F04"	-0.0126985833371276	0.496825396825397	0.460028780516581	0.53365643376076	0.866028576989839	0.988418333992562
"R172G12"	-0.120213170509675	0.469982847341338	0.431962952154398	0.508354341162143	0.125126604738447	0.556722719633379
"R173C02"	-0.0806730260051522	0.47984267453294	0.42997624489571	0.530114013743456	0.432117736749702	0.872764113040517
"R173E04"	-0.0883610870069191	0.477924089852827	0.446529830738485	0.509493727272744	0.170444943443407	0.630440935387059
"R173G10"	-0.148297501136741	0.462993421052632	0.417577991901137	0.509031254829125	0.115023708605694	0.527048933461913
"R174C10"	-0.00437637459979848	0.49890590809628	0.455719068918571	0.542109078278773	0.960504678358356	0.988418333992562
"R174D10"	-0.0636052499545727	0.484104046242775	0.44906781252254	0.519297241000181	0.376052581708752	0.862110308261568
"R174G07"	-0.0877055804191055	0.47808764940239	0.433172248313671	0.523360195070259	0.342824754450198	0.862110308261568
"R174H06"	-0.258832429417626	0.43565074453684	0.424628620531421	0.446736831817141	0	0
"R175E12"	-0.177837244346627	0.45565749235474	0.416519554371378	0.495350894111981	0.028607060914895	0.209103992877923
"R175H06"	0.0047318700278338	0.501182965299685	0.469382003431195	0.532974359320526	0.941948497534242	0.988418333992562
"R178B05"	-0.0305265906591554	0.492368944923689	0.463225910798398	0.521563933028088	0.608584776544291	0.910761974207259
"R179A12"	-0.154914330112555	0.461348684210526	0.415958402115329	0.507389034272875	0.0997809735404145	0.519199302998428
"R180E10"	-0.0388578026067466	0.490286771507863	0.455910506580085	0.524755144358814	0.580917064443661	0.910761974207259
"R180H11"	-0.0191088616980465	0.495222929936306	0.458377654359889	0.532120165241785	0.799914164590122	0.988418333992562
"R181E01"	-0.0111960457050852	0.497201017811705	0.461108522951751	0.533322706340569	0.879449881723323	0.988418333992562
"R182A12"	-0.00914083147066102	0.497714808043876	0.46350162140038	0.531949407835798	0.896041168084784	0.988418333992562
"R182D03"	-0.160174794430639	0.46004169562196	0.418292355381889	0.502359432733845	0.0641831980812384	0.386357682567455
"R183A02"	0.0292858285818072	0.507320933913732	0.475441934038168	0.539140511594506	0.652821035356586	0.910761974207259
"R183D03"	0.0124556770469198	0.503113879003559	0.469334489892748	0.53686486625082	0.856782645004709	0.988418333992562
"R185F03"	0.0538514948105884	0.51345962113659	0.477665697867515	0.549116018532728	0.461236670697501	0.874628894887205
"R186E02"	0.0171310399301838	0.504282655246253	0.451965149783386	0.556506544466802	0.872889159370937	0.988418333992562
"R186H03"	-0.0426633865353212	0.48933577087142	0.44991305140249	0.52889158910163	0.597475894879721	0.910761974207259
"R187B08"	0.0397074495951122	0.509925558312655	0.453573104880583	0.566026879761244	0.730520638671059	0.941814470990616
"R187E02"	-0.00367242425226333	0.499081894968785	0.468397504892996	0.529773202027408	0.953299805065799	0.988418333992562
"R187H03"	0.043683938861559	0.510919248349416	0.48536857110063	0.536412997584677	0.402287595851475	0.863652391093725
"R187H05"	-0.0551663813087081	0.486211901306241	0.451085065239638	0.521475475654636	0.443569604978941	0.874628894887205
"R188G12"	-0.000939408241935585	0.499765147956787	0.46507255724281	0.534460000116648	0.989431328514972	0.990588936146154
"R188H01"	-0.0742250613172536	0.48145224940805	0.436708798009174	0.526495158296423	0.419755112963217	0.868845447091217
"R189E01"	-0.101024801216364	0.474765258215962	0.436201813126098	0.513632058262687	0.203089327805458	0.700544085800849
"R193F12"	0.0894905707510607	0.522357723577236	0.471239273274674	0.573012106008308	0.391433674278462	0.862110308261568
"R193G04"	-0.0889878965879073	0.477767695099818	0.443804438405119	0.511937770222226	0.202155787416892	0.700544085800849
"R193H08"	-0.0668629452291264	0.483290488431877	0.44710647907025	0.519650565834903	0.367777211330466	0.862110308261568
"R194A02"	0.0134888617859438	0.50337216431637	0.463733311716834	0.542968672471981	0.867784883316966	0.988418333992562
"R195H03"	-0.172351384474105	0.457018498367791	0.426792193324992	0.487564644497493	0.00586331592800904	0.0580657416096379
"R196A04"	0.0359711806205052	0.508991825613079	0.471587438748056	0.546295807309267	0.637770463588351	0.910761974207259
"R196G06"	-0.144140058821158	0.464027245636441	0.431235265816746	0.497133270663777	0.03322404412867	0.231813216988675
"R197B06"	-0.176398538490833	0.456014362657091	0.417290989994898	0.495276906335771	0.0281590500063851	0.209103992877923
"R197D02"	-0.121545469549214	0.469650986342944	0.438637367382924	0.500900782085713	0.0569707721518369	0.356939327563549
"R20E01"	0.0649578962747723	0.516233766233766	0.475379872829896	0.556871818777663	0.436215615313746	0.874628894887205
"R21D01"	0.0105821093305377	0.502645502645503	0.463831953568	0.541427193581104	0.893898084119868	0.988418333992562
"R21D07"	-0.0358782876649016	0.491031390134529	0.453200521819422	0.52896525633094	0.643342088807109	0.910761974207259
"R22A03"	-0.0235096212372134	0.49412286538035	0.47027807455556	0.51799442260124	0.629522345402936	0.910761974207259
"R23D05"	-0.01959566294505	0.495101241018942	0.471472367529361	0.518752017638154	0.684871580102562	0.919646934740951
"R24D03"	0.0491951044462761	0.512296296296296	0.484695765067677	0.539822047832964	0.382592898573684	0.862110308261568
"R25B05"	0.0233884670864822	0.505846850245191	0.474725562304057	0.536922894847619	0.712885872487341	0.927355774803448
"R25F01"	-0.120196697118321	0.469986950848195	0.446468335722339	0.493639613727491	0.0129098721573271	0.113238021494269
"R26G07"	0.00893306188547479	0.502233250620347	0.476992103527909	0.527463019907918	0.862415354157825	0.988418333992562
"R27E01"	-0.0337916900227808	0.491552881277482	0.467203882039916	0.51594202262386	0.497314992821361	0.878001121052551
"R29A11"	-0.034814681882446	0.491297208538588	0.462307057420889	0.520346008415584	0.557200918821321	0.89950654471283
"R31B01"	-0.0602466690560302	0.484942886812046	0.45521444869116	0.514778262260867	0.322591393584981	0.851756586452365
"R31B05"	-0.0256966489003446	0.49357619125061	0.47315274316005	0.514021101260091	0.538069490172099	0.89950654471283
"R31H05"	0.0110579821956519	0.502764467379285	0.472010220169382	0.533497810577499	0.860283637563433	0.988418333992562
"R32B05"	-0.032931918737973	0.491767764298093	0.468207190706374	0.515364962400009	0.494188116753508	0.878001121052551
"R32H08"	0.00723185152649516	0.501807955002009	0.469706463903574	0.533894547959002	0.912204787734766	0.988418333992562
"R33B05"	-0.0296987611447493	0.492575855390575	0.451980172594015	0.533269676931333	0.720969420939487	0.933913975647352
"R33F03"	-0.207133543135155	0.44840096748186	0.42999348855736	0.466950914794214	5.58768888936356e-08	9.02852888965586e-07
"R34C11"	0.00285714480078016	0.500714285714286	0.475992003741234	0.525433075652241	0.954875158699261	0.988418333992562
"R34G11"	-0.0441608957857715	0.488961569910057	0.443344578383677	0.53476315483528	0.637039930759268	0.910761974207259
"R35A03"	0.0879687729459574	0.521978021978022	0.502942413806027	0.54095000949969	0.0236540346150886	0.196690149398624
"R35A08"	-0.0440020413903812	0.489001264222503	0.463562503418726	0.514497121400023	0.397855369649254	0.862110308261568
"R36H01"	0.0812826334368574	0.520309477756286	0.479585553746148	0.56076527739884	0.328344821538455	0.851756586452365
"R37A04"	0.0645754153802297	0.516138246215367	0.496972549761392	0.535256586801994	0.0988505883192259	0.519199302998428
"R39A05"	-0.105720163207108	0.473594548551959	0.427229607524568	0.520419388652655	0.26896774640039	0.801680564513783
"R39B04"	-0.00297177038915698	0.49925705794948	0.455670365304746	0.542855045074216	0.973420432916976	0.988418333992562
"R39B06"	-0.0101868453069932	0.497453310696095	0.470515757430759	0.524405656132766	0.853180076324388	0.988418333992562
"R39C03"	-0.107649369941578	0.473113616652212	0.43994133311625	0.506524983670841	0.114685640459434	0.527048933461913
