"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"expression_category"
"R188G12"	-0.0229236399019369	0.494269340974212	0.466810342670856	0.521762954579509	0.68302636743214	0.821439052738536	"Unknown"
"R22A03"	-0.0235096212372132	0.49412286538035	0.47482418110816	0.513439078983209	0.551004131083186	0.612226812314651	"Sperm Cell"
"R11B05"	-0.0238854849893566	0.494028912633564	0.474503415169142	0.513572641282471	0.549349909337213	0.909731612390962	"Vegetative Cell"
"R180H11"	-0.0241239768945142	0.493969298245614	0.46455503668013	0.523425367269055	0.688378944816418	0.821439052738536	"Unknown"
"R76E07"	-0.0248074737042677	0.493798449612403	0.468999744911736	0.518627707027969	0.624569272404326	0.956843957979002	"Seedling Only"
"R77E05"	-0.0260750969261985	0.493481595092025	0.468872719737705	0.51812209660527	0.604218315735432	0.745079027379275	"Unknown"
"R150G12"	-0.0263867551731948	0.493403693931398	0.458674971810124	0.528196189627868	0.710423556783584	0.972602264287372	"Vegetative Cell High"
"R106F04"	-0.0269955043420116	0.493251533742331	0.471186387323749	0.515343001354014	0.549425412869207	0.956843957979002	"Seedling Only"
"R81E02"	-0.02816154299243	0.49296007950969	0.468323340453325	0.517631056963197	0.576065541307502	0.939926809082556	"Vegetative Cell High"
"R77H05"	-0.0294042745807858	0.49264946096047	0.458089297482333	0.527280018872792	0.67762079985242	0.972602264287372	"Vegetative Cell High"
"R01G01"	-0.0295310889996946	0.492617764237169	0.463328551078087	0.521957739548662	0.622205070801128	0.939926809082556	"Vegetative Cell High"
"R107C12"	-0.0298529631496813	0.492537313432836	0.468287551886925	0.516822241242983	0.54706455377209	0.939926809082556	"Vegetative Cell High"
"R98H09"	-0.0300158959402658	0.492496589358799	0.463646030435086	0.521397210250977	0.61099078420084	0.939926809082556	"Vegetative Cell High"
"R144F06"	-0.0304830167250758	0.492379835873388	0.467540503551498	0.517256846669621	0.548352812813695	0.699815775163597	"Unknown"
"R178B05"	-0.0305265906591553	0.492368944923689	0.459668803477794	0.525134511268176	0.648242661289375	0.83772364741142	"Sperm Cell High"
"R135H08"	-0.0309652219439378	0.49225931301403	0.462505781217149	0.522067780144015	0.610927253243425	0.939926809082556	"Vegetative Cell High"
"R41A12"	-0.0326605606329247	0.491835585585586	0.470101875019058	0.51360020022366	0.46224468289391	0.577805853617387	"Sperm Cell"
"R32B05"	-0.0329319187379725	0.491767764298094	0.463607606488013	0.519980258296728	0.567507238685252	0.939926809082556	"Vegetative Cell High"
"R117C11"	-0.033279032007301	0.491681009753299	0.461603419187922	0.521818944774679	0.58864733802865	0.739488218398492	"Unknown"
"R135G02"	-0.0335762955336041	0.491606714628297	0.460863067431675	0.522413975846475	0.593508616512534	0.740964173410057	"Unknown"
"R27E01"	-0.0337916900227807	0.491552881277482	0.462451277454909	0.520711845421053	0.570311065744467	0.939926809082556	"Vegetative Cell High"
"R29A11"	-0.034814681882446	0.491297208538588	0.45876898939993	0.523899283660812	0.601016844678179	0.83772364741142	"Sperm Cell High"
"R124C05"	-0.0351736141782672	0.491207502930832	0.455738369034873	0.526765377540166	0.628148374080825	0.83772364741142	"Sperm Cell High"
"R02H02"	-0.035276311309304	0.491181836610582	0.472735607637517	0.509652108332075	0.349414736846116	0.577805853617387	"Sperm Cell"
"R72D11"	-0.0355235078530377	0.491120056831636	0.461685770766049	0.520616038404139	0.555278829793604	0.939926809082556	"Vegetative Cell High"
"R83B04"	-0.0358539218462458	0.491037479630636	0.459522992015553	0.522623361450989	0.578270985986569	0.939926809082556	"Vegetative Cell High"
"R21D07"	-0.0358782876649021	0.491031390134529	0.461236048513044	0.520890584759834	0.556192816260092	0.956843957979002	"Seedling Only"
"R68B05"	-0.036367644170875	0.490909090909091	0.460087938716126	0.521799508053969	0.564212925335456	0.939926809082556	"Vegetative Cell High"
"R12C02"	-0.0380180671875209	0.490496627835684	0.459413004638602	0.521653908337644	0.550103942665912	0.699815775163597	"Unknown"
"R98F09b"	-0.0396448313472403	0.49009009009009	0.458985744241234	0.521271356980722	0.533476888112532	0.83772364741142	"Sperm Cell High"
"R172C12"	-0.0398375528973178	0.490041928721174	0.461297135561451	0.518852723096841	0.498225692653898	0.663201087572407	"Unknown"
"R114D02"	-0.0398459085471997	0.49003984063745	0.460089608654662	0.52006174752243	0.515648436755246	0.681877209130292	"Unknown"
"R187E02"	-0.0399600847211597	0.490011307953261	0.465622629187919	0.514447629386515	0.423077141772817	0.593799588897664	"Unknown"
"R80E09"	-0.0408758288719679	0.489782465392221	0.466921832573692	0.512685914264114	0.38193878275239	0.956843957979002	"Seedling Only"
"R69E02"	-0.0412197730852356	0.489696515548895	0.465381918049107	0.514059963029189	0.40720341110221	0.593100620518436	"Unknown"
"R101B03"	-0.041301036445584	0.489676208352886	0.46038304154013	0.519040447320251	0.490870029198971	0.939926809082556	"Vegetative Cell High"
"R107C12"	-0.0421912224455745	0.489453758788534	0.460258227931982	0.518721414550959	0.480122979547528	0.645232587917565	"Unknown"
"R150H02"	-0.0428401586764922	0.489291598023064	0.453293599915698	0.525401003157203	0.561276631896147	0.709538383717771	"Unknown"
"R88H09"	-0.0433444303371433	0.489165588615783	0.46483506287095	0.513547556559459	0.383814154618312	0.939926809082556	"Vegetative Cell High"
